referrer,views_total,views_unique
bambuddy.cool,1844,762
Google,1610,674
github.com,1177,315
wiki.bambuddy.cool,391,139
youtube.com,136,80
search.brave.com,130,65
DuckDuckGo,123,73
forum.bambuddy.cool,76,6
Bing,59,39
comments.jeffgeerling.com,54,42
