referrer,views_total,views_unique
bambuddy.cool,1985,837
Google,1711,710
github.com,1263,329
wiki.bambuddy.cool,419,146
youtube.com,142,84
search.brave.com,142,76
DuckDuckGo,133,83
forum.bambuddy.cool,84,9
Bing,59,39
comments.jeffgeerling.com,54,42
