url_path,views_total,views_unique
/maziggy/bambuddy,5124,2822
/maziggy/bambuddy/issues,1420,386
/maziggy/bambuddy/releases,492,280
/maziggy/bambuddy/pulls,298,128
/maziggy/bambuddy/releases/tag/v0.2.4.4,223,180
/maziggy/bambuddy/releases/tag/v0.2.4.5,219,162
/maziggy/bambuddy/tree/main/slicer-api,161,88
/maziggy/bambuddy/releases/tag/v0.2.4.6,160,119
/maziggy/bambuddy/blob/main/docker-compose.yml,140,93
/maziggy/bambuddy/blob/main/slicer-api/README.md,128,82
