referrer,views_total,views_unique
bambuddy.cool,2200,1048
Google,1674,740
github.com,968,268
wiki.bambuddy.cool,468,176
DuckDuckGo,120,65
search.brave.com,100,51
Bing,88,44
youtube.com,83,38
forum.bambulab.com,41,9
comments.jeffgeerling.com,39,18
