referrer,views_total,views_unique
bambuddy.cool,2142,974
Google,1648,707
github.com,1050,281
wiki.bambuddy.cool,419,163
DuckDuckGo,113,65
search.brave.com,108,54
youtube.com,94,48
Bing,79,41
comments.jeffgeerling.com,57,31
forum.bambulab.com,50,11
