referrer,views_total,views_unique
bambuddy.cool,1790,738
Google,1556,667
github.com,1176,306
wiki.bambuddy.cool,395,139
youtube.com,134,80
DuckDuckGo,121,70
search.brave.com,117,59
forum.bambuddy.cool,67,5
Bing,58,36
comments.jeffgeerling.com,55,43
